Mode,Nodes,Flows,Pps,Speed_mps,SimTime_s,PacketSize_B,Seed,Run,DataTxPkts,DataRxPkts,DataLostPkts,Throughput_bps,AvgDelay_ms,PDR,DropRatio,EnergyConsumed_J
wireless,20,20,200,10,6,512,1,1,15151,1593,0,1.37635e+06,332.683,0.105142,0,103.115
wireless,40,20,200,10,6,512,1,1,16366,3279,0,2.83306e+06,334.881,0.200354,0,207.242
wireless,60,20,200,10,6,512,1,1,15704,624,0,539136,434.196,0.0397351,0,309.918
wireless,80,20,200,10,6,512,1,1,14501,526,0,454464,493.074,0.0362734,0,412.866
wireless,100,20,200,10,6,512,1,1,12359,0,0,0,0,0,0,516.634
wireless,40,10,200,10,6,512,1,1,9312,2145,0,1.85328e+06,155.834,0.230348,0,205.051
wireless,40,20,200,10,6,512,1,1,16366,3279,0,2.83306e+06,334.881,0.200354,0,207.242
wireless,40,30,200,10,6,512,1,1,20184,3250,0,2.808e+06,444.341,0.161019,0,207.928
wireless,40,40,200,10,6,512,1,1,32327,3302,2,2.85293e+06,509.261,0.102144,6.18678e-05,207.436
wireless,40,20,100,10,6,512,1,1,7957,2053,0,1.77379e+06,251.955,0.258012,0,206.696
wireless,40,20,200,10,6,512,1,1,16366,3279,0,2.83306e+06,334.881,0.200354,0,207.242
wireless,40,20,300,10,6,512,1,1,20404,2413,0,2.08483e+06,489.61,0.118261,0,207.454
wireless,40,20,400,10,6,512,1,1,35376,5127,0,4.42973e+06,383.562,0.144929,0,206.799
wireless,40,20,500,10,6,512,1,1,39262,3506,95,3.02918e+06,486.674,0.0892975,0.00241964,207.118
wireless,40,20,200,5,6,512,1,1,14396,3206,0,2.76998e+06,301.734,0.222701,0,207.27
wireless,40,20,200,10,6,512,1,1,16366,3279,0,2.83306e+06,334.881,0.200354,0,207.242
