Mode,Protocol,Nodes,Flows,PpsPerFlow,Speed_mps,Area_m,SimTime_s,PacketSize_B,Seed,Run,DataTxPkts,DataRxPkts,DataLostPkts,Throughput_bps,AvgDelay_ms,PDR,DropRatio,EnergyConsumed_J,RoutingTxPkts,RoutingRxPkts
wired,AODV,20,10,100,0,70,8,512,1,1,5900,4411,692,2381940.000000,493.143374,0.747627,0.117288,0.000000,8,8
wired,AODV,20,10,200,0,70,8,512,1,1,11800,4585,5527,2475900.000000,1107.704393,0.388559,0.468390,0.000000,38,25
wired,AODV,20,20,100,0,70,8,512,1,1,11800,4052,5219,2188080.000000,1131.252145,0.343390,0.442288,0.000000,217,81
wired,AODV,20,20,200,0,70,8,512,1,1,23600,4214,13243,2275560.000000,1508.726229,0.178559,0.561144,0.000000,266,178
wired,AODV,40,10,100,0,70,8,512,1,1,5900,3581,1090,1933740.000000,513.641560,0.606949,0.184746,0.000000,17,17
wired,AODV,40,10,200,0,70,8,512,1,1,11800,3688,6032,1991520.000000,1254.407124,0.312542,0.511186,0.000000,24,24
wired,AODV,40,20,100,0,70,8,512,1,1,11800,2783,5060,1502820.000000,1558.919388,0.235847,0.428814,0.000000,435,98
wired,AODV,40,20,200,0,70,8,512,1,1,23600,2903,12914,1567620.000000,1900.656991,0.123008,0.547203,0.000000,448,208
wired,AOMDV,20,10,100,0,70,8,512,1,1,4677,1691,2355,913140.000000,1303.056119,0.361557,0.503528,0.000000,53,51
wired,AOMDV,20,10,200,0,70,8,512,1,1,9359,1750,5071,945000.000000,1732.754402,0.186986,0.541831,0.000000,53,51
wired,AOMDV,20,20,100,0,70,8,512,1,1,9310,1345,5568,726300.000000,1590.969503,0.144468,0.598067,0.000000,190,155
wired,AOMDV,20,20,200,0,70,8,512,1,1,18627,1355,8356,731700.000000,1806.275721,0.072744,0.448596,0.000000,193,154
wired,AOMDV,40,10,100,0,70,8,512,1,1,3806,307,751,165780.000000,2436.699586,0.080662,0.197320,0.000000,303,169
wired,AOMDV,40,10,200,0,70,8,512,1,1,7642,321,1068,173340.000000,2512.415724,0.042005,0.139754,0.000000,291,157
wired,AOMDV,40,20,100,0,70,8,512,1,1,7209,176,994,95040.000000,2765.831494,0.024414,0.137883,0.000000,670,198
wired,AOMDV,40,20,200,0,70,8,512,1,1,14378,190,1004,102600.000000,2652.415147,0.013215,0.069829,0.000000,664,199
