Mode,Nodes,Flows,Pps,Speed_mps,SimTime_s,PacketSize_B,Seed,Run,DataTxPkts,DataRxPkts,DataLostPkts,Throughput_bps,AvgDelay_ms,PDR,DropRatio,EnergyConsumed_J
wired,6,10,100,0,10,512,1,1,7485,3671,3250,1.58587e+06,1117.78,0.490448,0.434202,0
wired,8,10,100,0,10,512,1,1,7381,3416,3475,1.47571e+06,945.442,0.46281,0.470803,0
wired,10,10,100,0,10,512,1,1,7341,3200,3260,1.3824e+06,1263.17,0.435908,0.444081,0
wired,12,10,100,0,10,512,1,1,7373,3225,3183,1.3932e+06,1612.77,0.437407,0.43171,0
wired,15,10,100,0,10,512,1,1,7278,2873,3001,1.24114e+06,1830.91,0.394751,0.412339,0
wired,20,10,100,0,10,512,1,1,6760,304,2729,131328,2968.21,0.0449704,0.403698,0
wired,30,10,100,0,10,512,1,1,5291,0,203,0,0,0,0.038367,0
wired,10,2,100,0,10,512,1,1,1489,1486,0,641952,3.52622,0.997985,0,0
wired,10,4,100,0,10,512,1,1,2958,2922,0,1.2623e+06,17.4098,0.98783,0,0
wired,10,6,100,0,10,512,1,1,4409,3416,727,1.47571e+06,707.444,0.774779,0.16489,0
wired,10,8,100,0,10,512,1,1,5887,3435,1864,1.48392e+06,1064.97,0.583489,0.31663,0
wired,10,10,100,0,10,512,1,1,7341,3200,3260,1.3824e+06,1263.17,0.435908,0.444081,0
wired,10,12,100,0,10,512,1,1,8846,3154,4733,1.36253e+06,1515.49,0.356545,0.535044,0
wired,10,16,100,0,10,512,1,1,11762,3103,7503,1.3405e+06,1613.56,0.263816,0.637902,0
wired,10,6,10,0,10,512,1,1,439,439,0,189648,10.3389,1,0,0
wired,10,6,20,0,10,512,1,1,878,868,0,374976,23.1371,0.98861,0,0
wired,10,6,30,0,10,512,1,1,1333,1315,0,568080,14.0573,0.986497,0,0
wired,10,6,50,0,10,512,1,1,2195,2145,0,926640,24.5477,0.977221,0,0
wired,10,6,80,0,10,512,1,1,3519,3241,193,1.40011e+06,269.919,0.921,0.0548451,0
wired,10,6,100,0,10,512,1,1,4409,3416,727,1.47571e+06,707.444,0.774779,0.16489,0
wired,10,6,150,0,10,512,1,1,6616,3431,2688,1.48219e+06,1100.12,0.518591,0.406288,0
wired,10,6,30,0,10,512,1,1,1333,1315,0,568080,14.0573,0.986497,0,0
wired,10,6,30,0,10,512,1,1,1333,1315,0,568080,14.0573,0.986497,0,0
wired,10,6,30,0,10,512,1,1,1333,1315,0,568080,14.0573,0.986497,0,0
wired,10,6,30,0,10,512,1,1,1333,1315,0,568080,14.0573,0.986497,0,0
wired,10,6,30,0,10,512,1,1,1333,1315,0,568080,14.0573,0.986497,0,0
