Mode,Nodes,Flows,Pps,Speed_mps,SimTime_s,PacketSize_B,Seed,Run,DataTxPkts,DataRxPkts,DataLostPkts,Throughput_bps,AvgDelay_ms,PDR,DropRatio,EnergyConsumed_J
wireless,20,30,300,15,10,512,1,1,59771,3138,615,1.35562e+06,40.7584,0.0525004,0.0102893,172.098
wireless,40,30,300,15,10,512,1,1,62361,2927,2170,1.26446e+06,44.6751,0.0469364,0.0347974,343.116
wireless,60,30,300,15,10,512,1,1,57799,1016,0,438912,58.7669,0.0175782,0,515.501
wireless,80,30,300,15,10,512,1,1,55911,912,0,393984,50.7085,0.0163116,0,684.703
wireless,100,30,300,15,10,512,1,1,52771,186,0,80352,53.6539,0.00352466,0,855.114
wireless,60,10,300,15,10,512,1,1,21271,2265,0,978480,49.4745,0.106483,0,513.271
wireless,60,20,300,15,10,512,1,1,42026,1249,0,539568,55.5606,0.0297197,0,513.684
wireless,60,30,300,15,10,512,1,1,57799,1016,0,438912,58.7669,0.0175782,0,515.501
wireless,60,40,300,15,10,512,1,1,76759,1540,0,665280,49.8875,0.0200628,0,514.802
wireless,60,50,300,15,10,512,1,1,94017,2714,0,1.17245e+06,38.8126,0.0288671,0,516.092
wireless,60,30,100,15,10,512,1,1,19697,54,0,23328,73.0502,0.00274153,0,515.075
wireless,60,30,200,15,10,512,1,1,38901,8,0,3456,53.3825,0.00020565,0,515.404
wireless,60,30,300,15,10,512,1,1,57546,806,0,348192,59.5356,0.0140062,0,514.548
wireless,60,30,400,15,10,512,1,1,79113,1172,0,506304,50.4673,0.0148143,0,515.195
wireless,60,30,500,15,10,512,1,1,101758,1911,0,825552,50.0104,0.0187799,0,514.189
wireless,60,30,300,5,10,512,1,1,58418,1486,0,641952,58.4213,0.0254374,0,515.302
wireless,60,30,300,10,10,512,1,1,58777,1356,5,585792,50.9714,0.0230702,8.50673e-05,515.316
wireless,60,30,300,15,10,512,1,1,57546,806,0,348192,59.5356,0.0140062,0,514.548
wireless,60,30,300,20,10,512,1,1,63309,1157,308,499824,50.3611,0.0182754,0.00486503,513.272
wireless,60,30,300,25,10,512,1,1,60019,53,0,22896,111.038,0.000883054,0,513.724
